"Source:","E:\Google Drive 2\KiCAD\Lantern Transmit Receive\EmitterDriverV2\EmitterDriverV2.kicad_sch"
"Date:","7/3/2022 9:09:35 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"9","2","Q1, Q3","2N7002","Transistor_FET:2N7002","TO_SOT_Packages_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"10","1","Q2","BSS84","Transistor_FET:BSS84","TO_SOT_Packages_SMD:SOT-23","http://assets.nexperia.com/documents/data-sheet/BSS84.pdf"
"11","2","Q4, Q5","RSD050N06TL","Device:Q_NMOS_GDS","TO_SOT_Packages_SMD:TO-252-2","~"
"12","1","R1","100","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"13","3","R2, R3, R4","0 ohm","Device:R","Resistors_SMD:R_0805","~"
"14","4","R5, R6, R7, R8","1k","Device:R","Resistors_SMD:R_0805","~"
"15","6","R9, R10, R11, R12, R13, R14","1 ohm","Device:R","Resistor_SMD:R_0805_2012Metric","~"
"16","1","TP1","VBatt","Connector:TestPoint","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"17","2","TP2, TP7","GND","Connector:TestPoint","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"18","1","TP3","TX1Set","Connector:TestPoint","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"19","1","TP4","TX2Set","Connector:TestPoint","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"20","1","TP5","TX1FB","Connector:TestPoint","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"21","1","TP6","TX2FB","Connector:TestPoint","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"22","1","TP8","RX","Connector:TestPoint","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"23","4","U1, U2, U3, U4","TSOP4838","Interface_Optical:TSOP45xx","OptoDevice:Vishay_MOLD-3Pin","http://www.vishay.com/docs/82460/tsop45.pdf"
"24","1","U5","LM2904","Amplifier_Operational:LM2904","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","http://www.ti.com/lit/ds/symlink/lm358.pdf"
